"","X.x","Entry","X.y","Entry.name","Status","Protein.names","Gene.names","Organism","Length","Tissue.specificity","Induction","Developmental.stage","V2"
"253","lcl|NW_011934567.1_cds_XP_011430687.1_108","P98196",153,"AT11A_HUMAN","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","ATP11A ATPIH ATPIS KIAA1021","Homo sapiens (Human)",1134,"","","","LOC105330584"
"254","lcl|NW_011934567.1_cds_XP_011430687.1_108","Q9Y2G3",151,"AT11B_HUMAN","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B)","ATP11B ATPIF ATPIR KIAA0956","Homo sapiens (Human)",1177,"","","","LOC105330584"
"255","lcl|NW_011934567.1_cds_XP_011430687.1_108","Q9N0Z4",152,"AT11B_RABIT","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B) (RING finger-binding protein) (Fragment)","ATP11B","Oryctolagus cuniculus (Rabbit)",1169,"TISSUE SPECIFICITY: Isoform 2 is ubiquitously expressed.","","","LOC105330584"
"256","lcl|NW_011934567.1_cds_XP_011430687.1_108","P98197",154,"AT11A_MOUSE","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","Atp11a","Mus musculus (Mouse)",1187,"TISSUE SPECIFICITY: Found in heart, muscle, liver and brain. Most abundant in heart. Also detected in fetal tissues.","","","LOC105330584"
"257","lcl|NW_011934567.1_cds_XP_011430687.1_108","Q8NB49",155,"AT11C_HUMAN","reviewed","Phospholipid-transporting ATPase IG (EC 7.6.2.1) (ATPase IQ) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C)","ATP11C ATPIG ATPIQ","Homo sapiens (Human)",1132,"TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:15533723}.","","","LOC105330584"
"258","lcl|NW_011934567.1_cds_XP_011430784.1_106","Q9N0Z4",152,"AT11B_RABIT","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B) (RING finger-binding protein) (Fragment)","ATP11B","Oryctolagus cuniculus (Rabbit)",1169,"TISSUE SPECIFICITY: Isoform 2 is ubiquitously expressed.","","","LOC105330584"
"259","lcl|NW_011934567.1_cds_XP_011430784.1_106","Q8NB49",155,"AT11C_HUMAN","reviewed","Phospholipid-transporting ATPase IG (EC 7.6.2.1) (ATPase IQ) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C)","ATP11C ATPIG ATPIQ","Homo sapiens (Human)",1132,"TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:15533723}.","","","LOC105330584"
"26","lcl|NW_011934516.1_cds_XP_011428421.2_8","Q64516",24,"GLPK_MOUSE","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","Gk Gyk","Mus musculus (Mouse)",559,"","","","LOC105328737"
"260","lcl|NW_011934567.1_cds_XP_011430784.1_106","Q9Y2G3",151,"AT11B_HUMAN","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B)","ATP11B ATPIF ATPIR KIAA0956","Homo sapiens (Human)",1177,"","","","LOC105330584"
"261","lcl|NW_011934567.1_cds_XP_011430784.1_106","P98196",153,"AT11A_HUMAN","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","ATP11A ATPIH ATPIS KIAA1021","Homo sapiens (Human)",1134,"","","","LOC105330584"
"262","lcl|NW_011934567.1_cds_XP_011430784.1_106","P98197",154,"AT11A_MOUSE","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","Atp11a","Mus musculus (Mouse)",1187,"TISSUE SPECIFICITY: Found in heart, muscle, liver and brain. Most abundant in heart. Also detected in fetal tissues.","","","LOC105330584"
"263","lcl|NW_011934567.1_cds_XP_011430863.1_110","P98196",153,"AT11A_HUMAN","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","ATP11A ATPIH ATPIS KIAA1021","Homo sapiens (Human)",1134,"","","","LOC105330584"
"264","lcl|NW_011934567.1_cds_XP_011430863.1_110","Q9N0Z4",152,"AT11B_RABIT","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B) (RING finger-binding protein) (Fragment)","ATP11B","Oryctolagus cuniculus (Rabbit)",1169,"TISSUE SPECIFICITY: Isoform 2 is ubiquitously expressed.","","","LOC105330584"
"265","lcl|NW_011934567.1_cds_XP_011430863.1_110","Q8NB49",155,"AT11C_HUMAN","reviewed","Phospholipid-transporting ATPase IG (EC 7.6.2.1) (ATPase IQ) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C)","ATP11C ATPIG ATPIQ","Homo sapiens (Human)",1132,"TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:15533723}.","","","LOC105330584"
"266","lcl|NW_011934567.1_cds_XP_011430863.1_110","P98197",154,"AT11A_MOUSE","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","Atp11a","Mus musculus (Mouse)",1187,"TISSUE SPECIFICITY: Found in heart, muscle, liver and brain. Most abundant in heart. Also detected in fetal tissues.","","","LOC105330584"
"267","lcl|NW_011934567.1_cds_XP_011430863.1_110","Q9Y2G3",151,"AT11B_HUMAN","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B)","ATP11B ATPIF ATPIR KIAA0956","Homo sapiens (Human)",1177,"","","","LOC105330584"
"268","lcl|NW_011934567.1_cds_XP_011430939.1_109","Q9N0Z4",152,"AT11B_RABIT","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B) (RING finger-binding protein) (Fragment)","ATP11B","Oryctolagus cuniculus (Rabbit)",1169,"TISSUE SPECIFICITY: Isoform 2 is ubiquitously expressed.","","","LOC105330584"
"269","lcl|NW_011934567.1_cds_XP_011430939.1_109","P98197",154,"AT11A_MOUSE","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","Atp11a","Mus musculus (Mouse)",1187,"TISSUE SPECIFICITY: Found in heart, muscle, liver and brain. Most abundant in heart. Also detected in fetal tissues.","","","LOC105330584"
"27","lcl|NW_011934516.1_cds_XP_011428421.2_8","Q21944",21,"GLPK_CAEEL","reviewed","Probable glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","R11F4.1","Caenorhabditis elegans",502,"","","","LOC105328737"
"270","lcl|NW_011934567.1_cds_XP_011430939.1_109","P98196",153,"AT11A_HUMAN","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","ATP11A ATPIH ATPIS KIAA1021","Homo sapiens (Human)",1134,"","","","LOC105330584"
"271","lcl|NW_011934567.1_cds_XP_011430939.1_109","Q8NB49",155,"AT11C_HUMAN","reviewed","Phospholipid-transporting ATPase IG (EC 7.6.2.1) (ATPase IQ) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C)","ATP11C ATPIG ATPIQ","Homo sapiens (Human)",1132,"TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:15533723}.","","","LOC105330584"
"272","lcl|NW_011934567.1_cds_XP_011430939.1_109","Q9Y2G3",151,"AT11B_HUMAN","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B)","ATP11B ATPIF ATPIR KIAA0956","Homo sapiens (Human)",1177,"","","","LOC105330584"
"273","lcl|NW_011934567.1_cds_XP_011431018.1_114","Q9Y2G3",151,"AT11B_HUMAN","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B)","ATP11B ATPIF ATPIR KIAA0956","Homo sapiens (Human)",1177,"","","","LOC105330584"
"274","lcl|NW_011934567.1_cds_XP_011431018.1_114","Q9N0Z4",152,"AT11B_RABIT","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B) (RING finger-binding protein) (Fragment)","ATP11B","Oryctolagus cuniculus (Rabbit)",1169,"TISSUE SPECIFICITY: Isoform 2 is ubiquitously expressed.","","","LOC105330584"
"275","lcl|NW_011934567.1_cds_XP_011431018.1_114","P98197",154,"AT11A_MOUSE","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","Atp11a","Mus musculus (Mouse)",1187,"TISSUE SPECIFICITY: Found in heart, muscle, liver and brain. Most abundant in heart. Also detected in fetal tissues.","","","LOC105330584"
"276","lcl|NW_011934567.1_cds_XP_011431018.1_114","Q8NB49",155,"AT11C_HUMAN","reviewed","Phospholipid-transporting ATPase IG (EC 7.6.2.1) (ATPase IQ) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C)","ATP11C ATPIG ATPIQ","Homo sapiens (Human)",1132,"TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:15533723}.","","","LOC105330584"
"277","lcl|NW_011934567.1_cds_XP_011431018.1_114","P98196",153,"AT11A_HUMAN","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","ATP11A ATPIH ATPIS KIAA1021","Homo sapiens (Human)",1134,"","","","LOC105330584"
"278","lcl|NW_011934567.1_cds_XP_011431095.1_107","P98197",154,"AT11A_MOUSE","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","Atp11a","Mus musculus (Mouse)",1187,"TISSUE SPECIFICITY: Found in heart, muscle, liver and brain. Most abundant in heart. Also detected in fetal tissues.","","","LOC105330584"
"279","lcl|NW_011934567.1_cds_XP_011431095.1_107","Q8NB49",155,"AT11C_HUMAN","reviewed","Phospholipid-transporting ATPase IG (EC 7.6.2.1) (ATPase IQ) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C)","ATP11C ATPIG ATPIQ","Homo sapiens (Human)",1132,"TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:15533723}.","","","LOC105330584"
"28","lcl|NW_011934516.1_cds_XP_011428421.2_8","Q0IID9",22,"GLPK_BOVIN","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","GK","Bos taurus (Bovine)",559,"","","","LOC105328737"
"280","lcl|NW_011934567.1_cds_XP_011431095.1_107","P98196",153,"AT11A_HUMAN","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","ATP11A ATPIH ATPIS KIAA1021","Homo sapiens (Human)",1134,"","","","LOC105330584"
"281","lcl|NW_011934567.1_cds_XP_011431095.1_107","Q9Y2G3",151,"AT11B_HUMAN","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B)","ATP11B ATPIF ATPIR KIAA0956","Homo sapiens (Human)",1177,"","","","LOC105330584"
"282","lcl|NW_011934567.1_cds_XP_011431095.1_107","Q9N0Z4",152,"AT11B_RABIT","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B) (RING finger-binding protein) (Fragment)","ATP11B","Oryctolagus cuniculus (Rabbit)",1169,"TISSUE SPECIFICITY: Isoform 2 is ubiquitously expressed.","","","LOC105330584"
"283","lcl|NW_011934567.1_cds_XP_011431167.1_112","Q8NB49",155,"AT11C_HUMAN","reviewed","Phospholipid-transporting ATPase IG (EC 7.6.2.1) (ATPase IQ) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C)","ATP11C ATPIG ATPIQ","Homo sapiens (Human)",1132,"TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:15533723}.","","","LOC105330584"
"284","lcl|NW_011934567.1_cds_XP_011431167.1_112","Q9N0Z4",152,"AT11B_RABIT","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B) (RING finger-binding protein) (Fragment)","ATP11B","Oryctolagus cuniculus (Rabbit)",1169,"TISSUE SPECIFICITY: Isoform 2 is ubiquitously expressed.","","","LOC105330584"
"285","lcl|NW_011934567.1_cds_XP_011431167.1_112","Q9Y2G3",151,"AT11B_HUMAN","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B)","ATP11B ATPIF ATPIR KIAA0956","Homo sapiens (Human)",1177,"","","","LOC105330584"
"286","lcl|NW_011934567.1_cds_XP_011431167.1_112","P98196",153,"AT11A_HUMAN","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","ATP11A ATPIH ATPIS KIAA1021","Homo sapiens (Human)",1134,"","","","LOC105330584"
"287","lcl|NW_011934567.1_cds_XP_011431167.1_112","P98197",154,"AT11A_MOUSE","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","Atp11a","Mus musculus (Mouse)",1187,"TISSUE SPECIFICITY: Found in heart, muscle, liver and brain. Most abundant in heart. Also detected in fetal tissues.","","","LOC105330584"
"288","lcl|NW_011934567.1_cds_XP_011431250.1_115","Q8NB49",155,"AT11C_HUMAN","reviewed","Phospholipid-transporting ATPase IG (EC 7.6.2.1) (ATPase IQ) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C)","ATP11C ATPIG ATPIQ","Homo sapiens (Human)",1132,"TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:15533723}.","","","LOC105330584"
"289","lcl|NW_011934567.1_cds_XP_011431250.1_115","P98196",153,"AT11A_HUMAN","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","ATP11A ATPIH ATPIS KIAA1021","Homo sapiens (Human)",1134,"","","","LOC105330584"
"29","lcl|NW_011934516.1_cds_XP_011428421.2_8","Q63060",23,"GLPK_RAT","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP-stimulated glucocorticoid-receptor translocation promoter) (ASTP) (ATP:glycerol 3-phosphotransferase)","Gk Gyk","Rattus norvegicus (Rat)",524,"","","","LOC105328737"
"290","lcl|NW_011934567.1_cds_XP_011431250.1_115","Q9N0Z4",152,"AT11B_RABIT","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B) (RING finger-binding protein) (Fragment)","ATP11B","Oryctolagus cuniculus (Rabbit)",1169,"TISSUE SPECIFICITY: Isoform 2 is ubiquitously expressed.","","","LOC105330584"
"291","lcl|NW_011934567.1_cds_XP_011431250.1_115","P98197",154,"AT11A_MOUSE","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","Atp11a","Mus musculus (Mouse)",1187,"TISSUE SPECIFICITY: Found in heart, muscle, liver and brain. Most abundant in heart. Also detected in fetal tissues.","","","LOC105330584"
"292","lcl|NW_011934567.1_cds_XP_011431250.1_115","Q9Y2G3",151,"AT11B_HUMAN","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B)","ATP11B ATPIF ATPIR KIAA0956","Homo sapiens (Human)",1177,"","","","LOC105330584"
"293","lcl|NW_011934567.1_cds_XP_011431328.1_116","P98196",153,"AT11A_HUMAN","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","ATP11A ATPIH ATPIS KIAA1021","Homo sapiens (Human)",1134,"","","","LOC105330584"
"294","lcl|NW_011934567.1_cds_XP_011431328.1_116","Q8NB49",155,"AT11C_HUMAN","reviewed","Phospholipid-transporting ATPase IG (EC 7.6.2.1) (ATPase IQ) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C)","ATP11C ATPIG ATPIQ","Homo sapiens (Human)",1132,"TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:15533723}.","","","LOC105330584"
"295","lcl|NW_011934567.1_cds_XP_011431328.1_116","P98197",154,"AT11A_MOUSE","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","Atp11a","Mus musculus (Mouse)",1187,"TISSUE SPECIFICITY: Found in heart, muscle, liver and brain. Most abundant in heart. Also detected in fetal tissues.","","","LOC105330584"
"296","lcl|NW_011934567.1_cds_XP_011431328.1_116","Q9N0Z4",152,"AT11B_RABIT","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B) (RING finger-binding protein) (Fragment)","ATP11B","Oryctolagus cuniculus (Rabbit)",1169,"TISSUE SPECIFICITY: Isoform 2 is ubiquitously expressed.","","","LOC105330584"
"297","lcl|NW_011934567.1_cds_XP_011431328.1_116","Q9Y2G3",151,"AT11B_HUMAN","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B)","ATP11B ATPIF ATPIR KIAA0956","Homo sapiens (Human)",1177,"","","","LOC105330584"
"298","lcl|NW_011934567.1_cds_XP_011431488.1_121","P98196",153,"AT11A_HUMAN","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","ATP11A ATPIH ATPIS KIAA1021","Homo sapiens (Human)",1134,"","","","LOC105330584"
"299","lcl|NW_011934567.1_cds_XP_011431488.1_121","Q9N0Z4",152,"AT11B_RABIT","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B) (RING finger-binding protein) (Fragment)","ATP11B","Oryctolagus cuniculus (Rabbit)",1169,"TISSUE SPECIFICITY: Isoform 2 is ubiquitously expressed.","","","LOC105330584"
"3","lcl|NW_011934501.1_cds_XP_011426503.1_1","Q9Z223",1,"MOC2B_MOUSE","reviewed","Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)","Mocs2","Mus musculus (Mouse)",189,"","","","LOC105317034"
"30","lcl|NW_011934516.1_cds_XP_011428421.2_8","Q14409",25,"GLPK3_HUMAN","reviewed","Glycerol kinase 3 (GK 3) (Glycerokinase 3) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 3) (Glycerol kinase 3 pseudogene) (Glycerol kinase, testis specific 1)","GK3P GKP3 GKTB","Homo sapiens (Human)",553,"","","","LOC105328737"
"300","lcl|NW_011934567.1_cds_XP_011431488.1_121","P98197",154,"AT11A_MOUSE","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","Atp11a","Mus musculus (Mouse)",1187,"TISSUE SPECIFICITY: Found in heart, muscle, liver and brain. Most abundant in heart. Also detected in fetal tissues.","","","LOC105330584"
"301","lcl|NW_011934567.1_cds_XP_011431488.1_121","Q9Y2G3",151,"AT11B_HUMAN","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B)","ATP11B ATPIF ATPIR KIAA0956","Homo sapiens (Human)",1177,"","","","LOC105330584"
"302","lcl|NW_011934567.1_cds_XP_011431488.1_121","Q8NB49",155,"AT11C_HUMAN","reviewed","Phospholipid-transporting ATPase IG (EC 7.6.2.1) (ATPase IQ) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C)","ATP11C ATPIG ATPIQ","Homo sapiens (Human)",1132,"TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:15533723}.","","","LOC105330584"
"303","lcl|NW_011934567.1_cds_XP_011431679.1_117","Q9N0Z4",152,"AT11B_RABIT","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B) (RING finger-binding protein) (Fragment)","ATP11B","Oryctolagus cuniculus (Rabbit)",1169,"TISSUE SPECIFICITY: Isoform 2 is ubiquitously expressed.","","","LOC105330584"
"304","lcl|NW_011934567.1_cds_XP_011431679.1_117","Q9Y2G3",151,"AT11B_HUMAN","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B)","ATP11B ATPIF ATPIR KIAA0956","Homo sapiens (Human)",1177,"","","","LOC105330584"
"305","lcl|NW_011934567.1_cds_XP_011431679.1_117","Q8NB49",155,"AT11C_HUMAN","reviewed","Phospholipid-transporting ATPase IG (EC 7.6.2.1) (ATPase IQ) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C)","ATP11C ATPIG ATPIQ","Homo sapiens (Human)",1132,"TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:15533723}.","","","LOC105330584"
"306","lcl|NW_011934567.1_cds_XP_011431679.1_117","P98196",153,"AT11A_HUMAN","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","ATP11A ATPIH ATPIS KIAA1021","Homo sapiens (Human)",1134,"","","","LOC105330584"
"307","lcl|NW_011934567.1_cds_XP_011431679.1_117","P98197",154,"AT11A_MOUSE","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","Atp11a","Mus musculus (Mouse)",1187,"TISSUE SPECIFICITY: Found in heart, muscle, liver and brain. Most abundant in heart. Also detected in fetal tissues.","","","LOC105330584"
"308","lcl|NW_011934567.1_cds_XP_011431755.1_118","Q8NB49",155,"AT11C_HUMAN","reviewed","Phospholipid-transporting ATPase IG (EC 7.6.2.1) (ATPase IQ) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C)","ATP11C ATPIG ATPIQ","Homo sapiens (Human)",1132,"TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:15533723}.","","","LOC105330584"
"309","lcl|NW_011934567.1_cds_XP_011431755.1_118","Q9N0Z4",152,"AT11B_RABIT","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B) (RING finger-binding protein) (Fragment)","ATP11B","Oryctolagus cuniculus (Rabbit)",1169,"TISSUE SPECIFICITY: Isoform 2 is ubiquitously expressed.","","","LOC105330584"
"31","lcl|NW_011934516.1_cds_XP_019923453.1_9","Q63060",23,"GLPK_RAT","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP-stimulated glucocorticoid-receptor translocation promoter) (ASTP) (ATP:glycerol 3-phosphotransferase)","Gk Gyk","Rattus norvegicus (Rat)",524,"","","","LOC105328737"
"310","lcl|NW_011934567.1_cds_XP_011431755.1_118","P98196",153,"AT11A_HUMAN","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","ATP11A ATPIH ATPIS KIAA1021","Homo sapiens (Human)",1134,"","","","LOC105330584"
"311","lcl|NW_011934567.1_cds_XP_011431755.1_118","Q9Y2G3",151,"AT11B_HUMAN","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B)","ATP11B ATPIF ATPIR KIAA0956","Homo sapiens (Human)",1177,"","","","LOC105330584"
"312","lcl|NW_011934567.1_cds_XP_011431755.1_118","P98197",154,"AT11A_MOUSE","reviewed","Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)","Atp11a","Mus musculus (Mouse)",1187,"TISSUE SPECIFICITY: Found in heart, muscle, liver and brain. Most abundant in heart. Also detected in fetal tissues.","","","LOC105330584"
"313","lcl|NW_011934567.1_cds_XP_011431912.1_111","Q9N0Z4",152,"AT11B_RABIT","reviewed","Probable phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B) (RING finger-binding protein) (Fragment)","ATP11B","Oryctolagus cuniculus (Rabbit)",1169,"TISSUE SPECIFICITY: Isoform 2 is ubiquitously expressed.","","","LOC105330584"
"314","lcl|NW_011934567.1_cds_XP_011431912.1_111","Q8NB49",155,"AT11C_HUMAN","reviewed","Phospholipid-transporting ATPase IG (EC 7.6.2.1) (ATPase IQ) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C)","ATP11C ATPIG ATPIQ","Homo sapiens (Human)",1132,"TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:15533723}.","","","LOC105330584"
